district,urban_rural,deaths,injured,serious_injuries,attacker_deaths,attacker_injured,casualty_asof,casualty_note,involves_children,victim_relation,age,sex,occupation,motive_summary,mental_health,prior_violence,warning_signals,intervention,outcome,judgment_date,execution_date,last_source_date,notes,deaths_lower_bound,injured_lower_bound,motive_tags,motive_basis,evidence_level,official_occurrence,official_classification,classification_evidence,id,date,date_precision,title,province,city,scene,method,category,classification_reason,source_ids,field_sources,reported_date,review_year,dating_note,review_batch,injured_reported,series_id,additional_collision_injured,response_injured,event_total_injured_reported,motive_attribution,date_time,continuous_attack,motive_themes,verification_gaps,social_source_urls,year,month,quarter,category_label,official,same_period,motive_known,deaths_min,injured_min,driver_deaths
滕州市,,,,,,,,,,,,,,,,,,,,,,2026-07-03,有关先杀家人后伤路人的说法只作为待查方向；日期、地点亦依单源报道保留，不能纳入已核实统计。,,,[],未知,网传待核,False,False,媒体调查／研究推断,LX26B07,2026-06-28,day,网传滕州和馨园及世茂商城附近持刀伤人线索,山东,枣庄,街道交通,持械,pending,报道仅汇总网传影像和说法，家庭纠纷、继续攻击街头旁人及伤亡均没有独立证实；缺足以确定是否同一连续案件的证据。,"[""LXS26B08""]","{""date"": [""LXS26B08""], ""location"": [""LXS26B08""], ""casualties"": [], ""classification"": [""LXS26B08""], ""motive"": [], ""outcome"": []}",,2026,,2026-X补查,,,,,,,,,[],报道仅汇总网传影像和说法，家庭纠纷、继续攻击街头旁人及伤亡均没有独立证实；缺足以确定是否同一连续案件的证据。,[],2026,2026-06,2026-Q2,待核实,False,True,False,0,0,
晋江市,,28,,,,,2026-07-10,28名死者包含送医后不治的2人，未另列受伤存活者人数；不采用社媒夸大数字。,,厂内人员；没有已认定的袭击者,,,,,,,,消防疏散及救援,政府启动事故调查和善后。,,,2026-07-17,method留空表示没有证实纵火，不将报道火灾直接编码为主动攻击。,,,[],未知,官方原文,True,False,火灾事实官方／主动袭击待核,LX26C08,2026-07-09,day,晋江辉腾鞋业厂房火灾及纵火传言,福建,泉州,其他,,pending,政府发布会确认重大厂房火灾及伤亡，但起火原因尚未查清；网上纵火／报复说法缺少可验证行为人、起火过程或调查结论。只列待核火灾线索。,"[""LXS26C18"", ""LXS26C20""]","{""date"": [""LXS26C18""], ""location"": [""LXS26C18""], ""casualties"": [""LXS26C18""], ""classification"": [""LXS26C18"", ""LXS26C20""], ""motive"": [], ""outcome"": [""LXS26C18""]}",,2026,,2026-X补查,,,,,,,,,[],政府发布会确认重大厂房火灾及伤亡，但起火原因尚未查清；网上纵火／报复说法缺少可验证行为人、起火过程或调查结论。只列待核火灾线索。,[],2026,2026-07,2026-Q3,待核实,False,True,False,28,0,
思明区,城市,,,,,,,不采用网传死亡或多人行凶人数。,,,,男,,,,,,,,,,2026-07-14,案发日采用文中网传7月11日，未经独立验证；7月14日是文章发布时间。,,,[],未知,网传待核,False,False,网传／待核,LX26C01,2026-07-11,day,网传厦门东浦路持刀伤人事件,福建,厦门,街道交通,持械,pending,只有网络影像汇编可见；影像拍摄日期、袭击经过、攻击对象关系和伤亡均无官方或独立采集材料印证。,"[""LXS26C08""]","{""date"": [""LXS26C08""], ""location"": [""LXS26C08""], ""casualties"": [], ""classification"": [""LXS26C08""], ""motive"": [], ""outcome"": []}",,2026,,2026-X补查,,,,,,,,,[],只有网络影像汇编可见；影像拍摄日期、袭击经过、攻击对象关系和伤亡均无官方或独立采集材料印证。,[],2026,2026-07,2026-Q3,待核实,False,True,False,0,0,
钱塘区,城市,1,,,,,2026-07-13,警方确认甜品店店主死亡1人；未单列其他非致命伤人数，injured由0改为null。,,,54,男,纺织厂员工,,,,,,金某某当日上午被抓获并刑拘。,,,2026-07-13,同日网传叙述误称外卖员冲突及有人在逃，与警方公布54岁纺织厂员工当日上午被抓不符；这些传言不用于关系、职业或结局认定。现场为商业场所本身不足证明随机。,,,[],未知,官方转载,True,False,媒体调查／研究推断,C028,2026-07-13,day,杭州钱塘甜品店门口持刀杀人案,浙江,杭州,商业场所,持械,pending,确认店主遇害，但双方关系与攻击选择机制未披露；暂不能认定随机或特定纠纷。,"[""CS038"", ""LXS26C08""]","{""date"": [""CS038""], ""location"": [""CS038""], ""casualties"": [""CS038""], ""classification"": [""CS038""], ""motive"": [], ""outcome"": [""CS038""]}",,,,2026-X补查,,,,,,,,,[],确认店主遇害，但双方关系与攻击选择机制未披露；暂不能认定随机或特定纠纷。,[],2026,2026-07,2026-Q3,待核实,False,True,False,1,0,
古雷港经济开发区,,,1,,,,2026-07-17,警方称伤情稳定，未给法定重伤鉴定。,,87岁拾荒老人，与施暴者关系未知,35,女,,,,,,警方到场控制嫌疑人、安排送医,案件办理中。,,,2026-07-17,,,,[],未知,官方转载,True,False,警方确认发生／对象关系待核,LX26C15,2026-07-14,day,漳州古雷新港城拾荒老人被殴打案,福建,漳州,社区住宅,持械,pending,警方确认殴打及一名伤者；尚无可读材料说明施暴者与老人此前关系、起因及选择机制，不能仅因老人弱势而认定随机。,"[""LXS26C26""]","{""date"": [""LXS26C26""], ""location"": [""LXS26C26""], ""casualties"": [""LXS26C26""], ""classification"": [""LXS26C26""], ""motive"": [], ""outcome"": [""LXS26C26""]}",,2026,,2026-X补查,,,,,,,,,[],警方确认殴打及一名伤者；尚无可读材料说明施暴者与老人此前关系、起因及选择机制，不能仅因老人弱势而认定随机。,[],2026,2026-07,2026-Q3,待核实,False,True,False,0,1,
城厢区,,0,0,,,,2026-07-15,缓存稿引当地政府称无人员伤亡；需在可访问正文再次核对。,,,,,,,,,,,缓存稿称嫌疑人已被警方控制。,,,2026-07-15,爆燃是纵火的据报后果，未推断另有独立爆炸装置；不将财产纵火自动纳为针对不特定公众的袭击。,,,[],未知,单一媒体,False,False,单一媒体缓存／攻击对象待核,LX26C10,2026-07-15,day,莆田灵川镇烟花爆竹仓库纵火线索,福建,莆田,其他,纵火,pending,新京报采访部门称人为纵火，但本轮只读取到搜索缓存完整短稿，原文访问失败；是否以现场人员或无关公众为攻击对象亦不明，暂列待核。,"[""LXS26C21""]","{""date"": [""LXS26C21""], ""location"": [""LXS26C21""], ""casualties"": [""LXS26C21""], ""classification"": [""LXS26C21""], ""motive"": [], ""outcome"": [""LXS26C21""]}",,2026,,2026-X补查,,,,,,,,,[],新京报采访部门称人为纵火，但本轮只读取到搜索缓存完整短稿，原文访问失败；是否以现场人员或无关公众为攻击对象亦不明，暂列待核。,[],2026,2026-07,2026-Q3,待核实,False,True,False,0,0,
晋江市,,0,0,,,,2026-07-16,仅初报“暂无人员被困或受伤”，非最终事故结案人数。,,,,,,,,,,,消防扑救。,,,2026-07-17,,,,[],未知,官方转载,True,False,火灾事实官方／主动袭击待核,LX26C09,2026-07-16,day,晋江池店唐厝废品收购站火灾及纵火传言,福建,泉州,其他,,pending,官方可确认废品站火灾；将其称工厂遭报复的社交说法未给可查证纵火证据，主动袭击性质未知。,"[""LXS26C19"", ""LXS26C20""]","{""date"": [""LXS26C19""], ""location"": [""LXS26C19""], ""casualties"": [""LXS26C19""], ""classification"": [""LXS26C19"", ""LXS26C20""], ""motive"": [], ""outcome"": [""LXS26C19""]}",,2026,,2026-X补查,,,,,,,,,[],官方可确认废品站火灾；将其称工厂遭报复的社交说法未给可查证纵火证据，主动袭击性质未知。,[],2026,2026-07,2026-Q3,待核实,False,True,False,0,0,
平江县,,2,,,1,,2026-07-17,两名店内死者与一名纵火嫌疑人分列，不能把总死亡3人当作受害者死亡3人；未给非致命伤人数。,,店内两人，身份及与纠纷关系未披露,42,男,,警方初查称与店主存在矛盾纠纷后纵火，细节未知。,,,,民警与消防赶赴灭火,嫌疑人寻某当场死亡；侦办中。,,,2026-07-17,不采信来源时间异常的内部通报截图作为两位受害者身份结论。,,,"[""商业纠纷""]",警方初步通报,官方转载,True,False,警方确认纵火／受害关系待核,LX26C05,2026-07-17,day,湖南平江老城区店铺纵火案,湖南,岳阳,商业场所,纵火,pending,警方确认店主纠纷引发纵火并造成店内两人死亡；通报未说明两人与原纠纷关系。儿女被害说法仅有网传，尚不足确认扩及无关人员。,"[""LXS26C14"", ""LXS26C34""]","{""date"": [""LXS26C14""], ""location"": [""LXS26C14""], ""casualties"": [""LXS26C14""], ""classification"": [""LXS26C14"", ""LXS26C34""], ""motive"": [""LXS26C14""], ""outcome"": [""LXS26C14""]}",,2026,,2026-X补查,,,,,,,,,"[""其他已披露背景""]",警方确认店主纠纷引发纵火并造成店内两人死亡；通报未说明两人与原纠纷关系。儿女被害说法仅有网传，尚不足确认扩及无关人员。,[],2026,2026-07,2026-Q3,待核实,False,True,True,2,0,
洪雅县,,0,0,,,,2026-07-26,数字来自媒体搜索缓存转述无人员被困伤亡，标记原文待复核。,,,,,,,,,,,,,,2026-09-09,没有将未经核实的欠薪年限、金额及人数写入事实字段。,,,[],未知,单一媒体,False,False,官方报道缓存／主动袭击待核,LX26C18,2026-07-26,day,洪雅玉屏山森林火灾及讨薪纵火传言,四川,眉山,公园广场,,pending,媒体缓存转述管护站火情通报，但原文访问失败；网传欠薪聊天截图不能独立确认行为人、纵火行为或对公众攻击目标。,"[""LXS26C27"", ""LXS26C30""]","{""date"": [""LXS26C30""], ""location"": [""LXS26C30""], ""casualties"": [""LXS26C30""], ""classification"": [""LXS26C27"", ""LXS26C30""], ""motive"": [], ""outcome"": []}",,2026,,2026-X补查,,,,,,,,,[],媒体缓存转述管护站火情通报，但原文访问失败；网传欠薪聊天截图不能独立确认行为人、纵火行为或对公众攻击目标。,[],2026,2026-07,2026-Q3,待核实,False,True,False,0,0,
,,,,,,,,,,比赛对手,,,,,,,,,,,,2026-07-29,保留李老师帖的转载线索；不公开未成年选手姓名，未以网友标签认定随机袭击，处罚内容尚待协会原通报。,,,[],未知,网传待核,False,False,网传／待核,LX26C13,2026-07-27,day,江苏青少年乒乓球选拔赛赛后殴打对手线索,江苏,,其他,其他,excluded,可读转载描述赛后失利选手攻击获胜对手，属于特定比赛冲突，没有伤及无关人员线索。,"[""LXS26C24""]","{""date"": [""LXS26C24""], ""location"": [""LXS26C24""], ""casualties"": [], ""classification"": [""LXS26C24""], ""motive"": [], ""outcome"": []}",,2026,,2026-X补查,,,,,,,,,[],,[],2026,2026-07,2026-Q3,排除,False,True,False,0,0,
西平县,,1,,,,,2026-08-02,警方称邻居死亡、亲属伤情稳定，未给受伤亲属人数，故injured留空。,,邻居及其亲属，邻里纠纷对象,51,男,,警方初查为邻里矛盾引发争执。,,,,,央视网8月8日标题确认嫌疑人已抓获。,,,2026-08-08,,,,"[""邻里纠纷""]",警方初步通报,官方转载,True,True,警方初步通报,LX26C06,2026-07-30,day,河南西平西关社区邻里纠纷持刀案,河南,驻马店,社区住宅,持械,excluded,警方描述因邻里矛盾针对邻居及其亲属，现有材料未显示攻击与该纠纷无关公众。,"[""LXS26C15"", ""LXS26C16""]","{""date"": [""LXS26C15""], ""location"": [""LXS26C15""], ""casualties"": [""LXS26C15""], ""classification"": [""LXS26C15"", ""LXS26C16""], ""motive"": [""LXS26C15""], ""outcome"": [""LXS26C16""]}",,2026,,2026-X补查,,,,,,,,,"[""其他已披露背景""]",,[],2026,2026-07,2026-Q3,排除,True,True,True,1,0,
黄岛区,,0,0,,,,2026-08-02,,,,,,,,,,,,消防等部门扑救，原因调查。,,,2026-09-09,初期网传称轮胎厂，实际通报主体为供应链企业仓库。,,,[],未知,官方转载,True,False,火灾事实官方／主动袭击待核,LX26C19,2026-08-02,day,青岛象屿速传仓库火灾及讨薪纵火传言,山东,青岛,其他,,pending,地方发布通报确认仓库火灾且原因调查中；员工讨薪纵火传言无独立核实，不以燃烧规模或爆燃声推定主动袭击。,"[""LXS26C27"", ""LXS26C31""]","{""date"": [""LXS26C31""], ""location"": [""LXS26C31""], ""casualties"": [""LXS26C31""], ""classification"": [""LXS26C27"", ""LXS26C31""], ""motive"": [], ""outcome"": [""LXS26C31""]}",,2026,,2026-X补查,,,,,,,,,[],地方发布通报确认仓库火灾且原因调查中；员工讨薪纵火传言无独立核实，不以燃烧规模或爆燃声推定主动袭击。,[],2026,2026-08,2026-Q3,待核实,False,True,False,0,0,
青秀区,城市,,1,,,,2026-08-11,伤者当时暂无生命危险；未报最终伤情。,,纠纷对象,39,男,,警方初查：因纠纷伤害特定女子，纠纷内容未公布。,,,,,8月11日凌晨3时许抓获嫌疑人。,,,2026-08-11,,,,"[""人际纠纷""]",警方初步通报,官方转载,True,True,警方初步通报,LX26C04,2026-08-10,day,南宁民族大道商场旁纠纷持刀伤人案,广西,南宁,商业场所,持械,excluded,警方初查明确因纠纷针对一名特定女子，未披露扩大到无关旁人的伤害。,"[""LXS26C13""]","{""date"": [""LXS26C13""], ""location"": [""LXS26C13""], ""casualties"": [""LXS26C13""], ""classification"": [""LXS26C13""], ""motive"": [""LXS26C13""], ""outcome"": [""LXS26C13""]}",,2026,,2026-X补查,,,,,,,,,"[""其他已披露背景""]",,[],2026,2026-08,2026-Q3,排除,True,True,True,0,1,
,城市,,,,,,,,,,,,,,,,,,据网传乘客控制后警方到场。,,,2026-08-18,不把喊话等同确定动机，不依据网友猜测填写精神健康诊断。,,,[],未知,网传待核,False,False,网传／待核,LX26C11,2026-08-16,day,网传南京地铁3号线男子拉制动及威胁事件,江苏,南京,公共交通,其他,excluded,现有网传内容为拉紧急制动、踹门及威胁喊话，没有已实施针对他人的主动袭击；按未实施伤人威胁排除，保留来源供后续修订。,"[""LXS26C22""]","{""date"": [""LXS26C22""], ""location"": [""LXS26C22""], ""casualties"": [], ""classification"": [""LXS26C22""], ""motive"": [], ""outcome"": [""LXS26C22""]}",,2026,,2026-X补查,,,,,,,,,[],,[],2026,2026-08,2026-Q3,排除,False,True,False,0,0,
锦屏县,,,,,,,2026-08-17,仅通报伤者均送医且无生命危险，未公布人数。,,,,,,,,,,,警方调查交通事故。,,,2026-08-17,,,,[],未知,官方转载,True,True,警方初步通报,LX26C07,2026-08-17,day,贵州锦屏三江镇越野车失控伤人事故,贵州,黔东南,街道交通,驾车,excluded,警方初步核查为车辆失控导致道路交通事故；未发现主动选择人群撞击的可靠证据，不能凭多人倒地影像认定故意袭击。,"[""LXS26C17""]","{""date"": [""LXS26C17""], ""location"": [""LXS26C17""], ""casualties"": [""LXS26C17""], ""classification"": [""LXS26C17""], ""motive"": [], ""outcome"": [""LXS26C17""]}",,2026,,2026-X补查,,,,,,,,,[],,[],2026,2026-08,2026-Q3,排除,True,True,False,0,0,
城东区,城市,,2,,,,2026-08-20,新京报报道两人被划伤；人数由可靠媒体转引警方处置报道，非完整最终伤情鉴定。死亡、重伤及嫌疑人是否受伤仍未知；网传十余或二十余伤未采用。,,最初为发生冲突的摊主，随后为前来劝架者。,,,,目击者采访称与摊主冲突，进一步起因未披露。,,,,外卖骑手于荣先放置餐品后用电动车撞倒持刀者，群众合力控制并报警急救。,警方采取强制措施并立案；于荣先获见义勇为认定的后续官方媒体报道可检索。,,,2026-08-26,8月18日晚案发、19日凌晨上传视频：人民日报采访解释了早期日期冲突。两伤采用新京报报道，不采用同源社媒夸大数字。没有把骑手或其他未报告受伤的制止者算入伤者；其职业与年龄不填入袭击者字段。青海日报认定报道本轮原文重定向失败，只有摘要可见。,,,"[""人际纠纷""]",媒体调查,多源媒体,True,False,媒体调查：原纠纷扩大至劝架者,C041,2026-08-18,day,西宁街头持刀伤人及群众制止事件,青海,西宁,街道交通,持械,expanded,华商报大风新闻采访多名目击者称，持刀者先与摊主冲突并将其刺伤，又刺伤随后前来劝架的人。人民日报、极目等对制止者的采访及新京报引警方资料核实该次持刀伤人；原纠纷扩大到劝架者，符合expanded。此为依据媒体调查的研究分类，非官方随机袭击定性。,"[""CS052"", ""CS053"", ""LXS26C04"", ""LXS26C05"", ""LXS26C06"", ""LXS26C07"", ""LXS26C33"", ""LXS26C35""]","{""date"": [""LXS26C04"", ""LXS26C05"", ""LXS26C07""], ""location"": [""LXS26C04"", ""LXS26C05"", ""LXS26C07""], ""casualties"": [""LXS26C06""], ""classification"": [""LXS26C07"", ""LXS26C04"", ""LXS26C05"", ""LXS26C06""], ""motive"": [""LXS26C07""], ""outcome"": [""LXS26C04"", ""LXS26C06"", ""LXS26C35""]}",,,当事人与目击者采访为2026-08-18约21时；不是精确时间。19日凌晨为视频上传时间。,2026-X补查,,,,,,华商报大风新闻目击者采访,,,"[""其他已披露背景""]",,"[""https://x.com/MIYESAC/status/2089830704477548850""]",2026,2026-08,2026-Q3,纠纷扩大,False,True,True,0,2,
,,,,,,,,,,,,,,,,,,,,,,2026-08-20,原X status URL已从新唐人嵌入链接恢复，原站返回空正文；镜像与转载不算第二独立来源。,,,[],未知,网传待核,False,False,媒体调查／研究推断,C042,2026-08-18,day,网传汕头陈厝合持刀伤人事件,广东,汕头,社区住宅,持械,pending,现有材料仍为同一组社交视频及转载，可见有人受伤和现场处置的报道，但拍摄日期、被害关系及人数未独立确认；不采用十余伤传言。,"[""CS053"", ""LXS26C32""]","{""date"": [""CS053"", ""LXS26C32""], ""location"": [""CS053""], ""casualties"": [], ""classification"": [""CS053"", ""LXS26C32""], ""motive"": [], ""outcome"": []}",,,,2026-X补查,,,,,,,,,[],现有材料仍为同一组社交视频及转载，可见有人受伤和现场处置的报道，但拍摄日期、被害关系及人数未独立确认；不采用十余伤传言。,"[""https://x.com/MKBKCOM/status/2090022453246382399""]",2026,2026-08,2026-Q3,待核实,False,True,False,0,0,
电白区,,,,,,,,,,,,男,,,,,,,,,,2026-08-20,8月19日采用既有CS053叙述，尚未取得当地官方通报；不录入未核钱款或私生活指控。,,,[],未知,网传待核,False,False,网传／待核,LX26C14,2026-08-19,day,网传茂名电城海景明珠持刀伤人事件,广东,茂名,社区住宅,持械,pending,仅有网络影像及转述；一名男子攻击女子的日期、伤亡及双方关系未独立核实；情感纠纷传言不能直接作为排除或核心认定。,"[""LXS26C25"", ""CS053""]","{""date"": [""CS053""], ""location"": [""CS053""], ""casualties"": [], ""classification"": [""LXS26C25"", ""CS053""], ""motive"": [], ""outcome"": []}",,2026,,2026-X补查,,,,,,,,,[],仅有网络影像及转述；一名男子攻击女子的日期、伤亡及双方关系未独立核实；情感纠纷传言不能直接作为排除或核心认定。,"[""https://x.com/newszg_official/status/2090085905876795776""]",2026,2026-08,2026-Q3,待核实,False,True,False,0,0,
玉州区,城市,,1,,,,2026-08-21,采用警方一人受伤、无生命危险口径；网传带孩子同行不等于儿童受伤。,,网传陌生女子，关系尚未独立核实,,,,,,,,现场控制嫌疑人,韦某被当场控制，案件进一步侦办中；未见通报说明具体强制措施。,,,2026-08-22,MNewsTV与新唐人共享同组图像和说法，不作为第二独立证据；儿童是否直接被袭未知。,,,[],未知,官方转载,True,False,警方确认发生／对象关系待核,LX26C03,2026-08-20,day,玉林玉州路女子遇袭案,广西,玉林,街道交通,持械,pending,警方确认故意伤害、一人受伤；社媒称从背后袭击扫车女子且双方不识，但材料为同一网民／截图链条，未核实身份关系及完整攻击前因。,"[""LXS26C11"", ""LXS26C12"", ""LXS26C36""]","{""date"": [""LXS26C11""], ""location"": [""LXS26C11""], ""casualties"": [""LXS26C11""], ""classification"": [""LXS26C11"", ""LXS26C12"", ""LXS26C36""], ""motive"": [], ""outcome"": [""LXS26C11""]}",,2026,,2026-X补查,,,,,,,,,[],警方确认故意伤害、一人受伤；社媒称从背后袭击扫车女子且双方不识，但材料为同一网民／截图链条，未核实身份关系及完整攻击前因。,[],2026,2026-08,2026-Q3,待核实,False,True,False,0,1,
南明区,,,1,,,,2026-09-06,警方称唯一公开伤者病情稳定、无生命危险；没有最终伤情鉴定。,,医生；是否曾与袭击者存在诊疗关系待核,,,,网传患者不满诊疗、寻找另一名医生未果；尚无可核实动机结论。,,,,警方现场控制嫌疑人,胡某被刑事拘留，案件办理中。,,,2026-09-06,不因媒体称伤势重而填写法定重伤人数。,,,[],未知,官方转载,True,False,警方确认发生／对象关系待核,LX26C02,2026-09-04,day,贵阳贵州中医大二附院红岩院区医生遇刺案,贵州,贵阳,医疗机构,持械,pending,警方及记者联系院方、卫健委可确认伤医事件；患者找不到原诊疗医生转刺其他科医生的说法尚停留在稿件转引网传，未核实原医患关系和替代攻击经过，因此暂不升为expanded。,"[""LXS26C09"", ""LXS26C10""]","{""date"": [""LXS26C09""], ""location"": [""LXS26C09""], ""casualties"": [""LXS26C09""], ""classification"": [""LXS26C09"", ""LXS26C10""], ""motive"": [""LXS26C10""], ""outcome"": [""LXS26C09""]}",,2026,,2026-X补查,,,,,,网传待核,,,[],警方及记者联系院方、卫健委可确认伤医事件；患者找不到原诊疗医生转刺其他科医生的说法尚停留在稿件转引网传，未核实原医患关系和替代攻击经过，因此暂不升为expanded。,[],2026,2026-09,2026-Q3,待核实,False,True,False,0,1,
包河区,,0,0,,,,2026-09-09,,,,,,,,,,,,9月9日0:40火势受控。,,,2026-09-09,案发采用消防报警日9月8日，非报道9月9日，更不采用社交帖的9月10日。,,,[],未知,官方转载,True,False,火灾事实官方／主动袭击待核,LX26C16,2026-09-08,day,合肥包河仓库火灾及报复纵火传言,安徽,合肥,其他,,pending,消防确认火灾，尚未披露起因；报复纵火说法来自未核实社媒，缺少行为人、行为及攻击目标证据。,"[""LXS26C27"", ""LXS26C28""]","{""date"": [""LXS26C28""], ""location"": [""LXS26C28""], ""casualties"": [""LXS26C28""], ""classification"": [""LXS26C27"", ""LXS26C28""], ""motive"": [], ""outcome"": [""LXS26C28""]}",,2026,,2026-X补查,,,,,,,,,[],消防确认火灾，尚未披露起因；报复纵火说法来自未核实社媒，缺少行为人、行为及攻击目标证据。,[],2026,2026-09,2026-Q3,待核实,False,True,False,0,0,
,,0,0,,,,2026-09-08,截至早间消防初报暂未发现人员伤亡，不能解释为最终结案统计。,,,,,,,,,,,消防称火势得到有效控制。,,,2026-09-09,,,,[],未知,官方转载,True,False,火灾事实官方／主动袭击待核,LX26C17,2026-09-08,day,蚌埠高华电子厂房火灾及讨薪纵火传言,安徽,蚌埠,其他,,pending,消防确认高新区厂房火灾，但原因未公布；讨薪员工纵火说法只在社媒汇编出现，无可核实行为人及调查结论。,"[""LXS26C27"", ""LXS26C29""]","{""date"": [""LXS26C29""], ""location"": [""LXS26C29""], ""casualties"": [""LXS26C29""], ""classification"": [""LXS26C27"", ""LXS26C29""], ""motive"": [], ""outcome"": [""LXS26C29""]}",,2026,,2026-X补查,,,,,,,,,[],消防确认高新区厂房火灾，但原因未公布；讨薪员工纵火说法只在社媒汇编出现，无可核实行为人及调查结论。,[],2026,2026-09,2026-Q3,待核实,False,True,False,0,0,
定兴县,,,,,,,,,,网传与店家发生冲突,,,,,,,,,,,,,帖文采用相对发布时间，未据此臆定发帖日期；案发9月13日仅来自帖文文字。,,,[],未知,网传待核,False,False,网传／待核,LX26C12,2026-09-13,day,网传保定定兴火锅店外卖员持刀冲突,河北,保定,商业场所,持械,pending,镜像只描述持刀与店家冲突，未确认实施伤害，也未显示攻击无关旁人；发生细节、伤亡及对象关系待核。,"[""LXS26C23""]","{""date"": [""LXS26C23""], ""location"": [""LXS26C23""], ""casualties"": [], ""classification"": [""LXS26C23""], ""motive"": [], ""outcome"": []}",,2026,,2026-X补查,,,,,,,,,[],镜像只描述持刀与店家冲突，未确认实施伤害，也未显示攻击无关旁人；发生细节、伤亡及对象关系待核。,[],2026,2026-09,2026-Q3,待核实,False,True,False,0,0,
番禺区,城市,0,,,,,2026-09-14,警方称所有伤者均无生命危险，未公开人数；不采用网传伤者人数、多人团伙或死亡说法。,,,35,男,,,,,,,李某被抓获，案件侦办中。,,,2026-09-15,李老师镜像可读多条受伤现场和抓获地点投稿，但同一投稿链不累计为独立来源。财新仅开放导语，未把付费全文视作已核验。所谓逃至广东工业大学西区食堂被抓仍为投稿层次。动机、多人作案及纸条传闻未证实。,,,[],未知,官方原文,True,False,媒体调查／研究推断,C024,2026-09-14,day,广州小谷围街火锅店门口持刀伤人案,广东,广州,商业场所,持械,pending,警方原文确认持刀伤人。多帖及网传图像指向在商业区袭击行人，但本轮未取得可验证连续攻击过程、被害人与行凶者关系的独立采访或现场原始证据；目前不足区分陌生公众袭击与定向纠纷。不是仅因通报未使用“随机”字样而待核。,"[""CS034"", ""LXS26C01"", ""LXS26C02"", ""LXS26C03""]","{""date"": [""CS034"", ""LXS26C01""], ""location"": [""CS034"", ""LXS26C01"", ""LXS26C02""], ""casualties"": [""CS034"", ""LXS26C01""], ""classification"": [""LXS26C01"", ""LXS26C02"", ""LXS26C03""], ""motive"": [], ""outcome"": [""CS034"", ""LXS26C01""]}",,,警方通报的17:20为110接报警时间，不是已核实的袭击发生时刻；案发日为2026-09-14。,2026-X补查,伤者均无生命危险，人数未公布,,,,,,,,[],警方原文确认持刀伤人。多帖及网传图像指向在商业区袭击行人，但本轮未取得可验证连续攻击过程、被害人与行凶者关系的独立采访或现场原始证据；目前不足区分陌生公众袭击与定向纠纷。不是仅因通报未使用“随机”字样而待核。,[],2026,2026-09,2026-Q3,待核实,False,True,False,0,0,
